Business Service|Transformation Status
aviva uk:gemini life prd hpg|
aviva uk:gemini life prd hps|
aviva uk:gemini life uat hpb|
aviva uk:gemini mi dev hps|
aviva uk:gemini prd hpg|
aviva uk:gemini prd hpp|
aviva uk:gemini transactions (exceed) prd hpp|
aviva uk:gemini transactions (internal) prd hpg|
aviva uk:gemini uat hpb|
aviva uk:gemini uat hps|
aviva uk:gemini ukgi dev hpg|
aviva uk:gemini ukgi prd hpg|
aviva uk:gemini-focol dev hpg|
aviva uk:geocode conversion service dev hpb|
aviva uk:geocode conversion service prd hpg|
aviva uk:german database prd hpb|
aviva uk:gi client prd hpp|
aviva uk:gi client tst hps|
aviva uk:gi client uat hps|
aviva uk:gi02 lmg prd hps|
aviva uk:git dev hpb|
aviva uk:git prd hpg|
aviva uk:gms dev hps|
aviva uk:gms mod hps|
aviva uk:gms prd hpp|
aviva uk:gms pre hps|
aviva uk:gms sit hps|
aviva uk:gms trn1 hps|
aviva uk:gms tst hps|
aviva uk:gms uat1 hps|
aviva uk:gms uat2 hps|
aviva uk:gms uat3 hps|
aviva uk:golgafrincham prd hps|
aviva uk:gotrr prd hpg|
aviva uk:gotrr uat1 hpb|
aviva uk:gpc - gps dev hpg|
aviva uk:gpc - gps prd hpg|
aviva uk:gquotes santander dev hpb|
aviva uk:gquotes santander prd hpb|
aviva uk:gr smart dev hpb|
aviva uk:gr smart dev hpg|
aviva uk:gr smart dev hps|
aviva uk:gr smart dev hps(x)|
aviva uk:gr smart prd hpg|
aviva uk:gr smart prd hpg(x)|
aviva uk:gr smart prd hps|
aviva uk:gr smart tst hpb|
aviva uk:gr smart uat hpg|
aviva uk:gr smart uat hpg(x)|
aviva uk:gr smart uat hps|
aviva uk:gr smart uat hps(x)|
aviva uk:granta acs prd hpb|
aviva uk:grit dev hps|
aviva uk:grit prd hpg|
aviva uk:grit prd hpg(x)|
aviva uk:grit prd hps|
aviva uk:grit tst hpb|
aviva uk:grit tst hpg|
aviva uk:grit uat hpg|
aviva uk:group ftp prd hpg(x)|
aviva uk:group ftp prd hps(x)|
aviva uk:grp 01 lmg prd hps|
aviva uk:guidewire claim center dev hpb|
aviva uk:guidewire claim center dev hps|
aviva uk:guidewire claim center prd hpg|
aviva uk:guidewire claim center prd hps|
aviva uk:guidewire claim center pre hpg|
aviva uk:guidewire claim center pre hps|
aviva uk:guidewire claim center sit hpb|
aviva uk:guidewire claim center sit hps|
aviva uk:guidewire claim center tst hpb|
aviva uk:guidewire claim center tst hps|
aviva uk:guidewire claim center uat hps|
aviva uk:guidewire contact manager dev hpb|
aviva uk:guidewire contact manager dev hps|
aviva uk:guidewire contact manager prd hpg|
aviva uk:guidewire contact manager prd hps|
aviva uk:guidewire contact manager pre hpg|
aviva uk:guidewire contact manager pre hps|
aviva uk:guidewire contact manager sit hpb|
aviva uk:guidewire contact manager sit hps|
aviva uk:guidewire contact manager tst hpb|
aviva uk:guidewire contact manager tst hps|
aviva uk:guidewire contact manager uat hps|
aviva uk:guidewire policy center dev hpb|
aviva uk:guidewire policy center dev hps|
aviva uk:guidewire policy center prd hpg|
aviva uk:guidewire policy center prd hps|
aviva uk:guidewire policy center pre hpg|
aviva uk:guidewire policy center pre hps|
aviva uk:guidewire policy center sit hpb|
aviva uk:guidewire policy center sit hps|
aviva uk:guidewire policy center tst hpb|
aviva uk:guidewire policy center tst hps|
aviva uk:guidewire policy center uat hps|
aviva uk:guidewire xml data store  pre hps|
aviva uk:guidewire xml data store prd hpg|
aviva uk:guidewire xml data store prd hps|
aviva uk:guidewire xml data store pre hpg|
aviva uk:gws support services mi prd hpb|
aviva uk:ha prd hpp|
aviva uk:ha prd hps|
aviva uk:ha tst hps|
aviva uk:ha uat hps|
aviva uk:handling unit look up dev hps|
aviva uk:handling unit look up prd hpp|
aviva uk:handling unit look up uat hps|
aviva uk:hardware management prd hpb|
aviva uk:hardware management prd hpg|
aviva uk:hardware management prd hpg(x)|
aviva uk:hardware management prd hpp|
aviva uk:hardware management prd hpp(x)|
aviva uk:hardware management prd hps|
aviva uk:hardware management prd hps(x)|
aviva uk:hawkeye dev hpb|
aviva uk:hawkeye dev hpg|
aviva uk:hawkeye dev hpg(x)|
aviva uk:hawkeye prd hpg|
aviva uk:hawkeye prd hpg(x)|
aviva uk:hawkeye prd hps|
aviva uk:hawkeye prd hps(x)|
aviva uk:hawkeye pre hpg|
aviva uk:hawkeye pre hpg(x)|
aviva uk:hawkeye pre hps|
aviva uk:hawkeye pre hps(x)|
aviva uk:hawkeye prv hpb|
aviva uk:hawkeye prv hpg|
aviva uk:hawkeye prv hpg(x)|
aviva uk:hawkeye prv hps|
aviva uk:hawkeye tst hpb|
aviva uk:hawkeye uat hpb|
aviva uk:hawkeye uat hps|
aviva uk:hawkeye uat hps(x)|
aviva uk:head office direct debits syst prd hpg|
aviva uk:head office renewals prd hpg|
aviva uk:healthcode secure ftp prd hpp|
aviva uk:healthcode secure ftp uat hps|
aviva uk:heritage dev hps|
aviva uk:heritage prd hpg|
aviva uk:heritage prd hpg(x)|
aviva uk:heritage prd hps|
aviva uk:heritage tst hps|
aviva uk:heritage tst hps(x)|
aviva uk:heritage uat hps|
aviva uk:hi lite dev hpb|
aviva uk:hi lite prd hpg|
aviva uk:historical prices archive prd hpg|
aviva uk:hml batch suite prd hps|
aviva uk:hml batch suite tst hpb(x)|
aviva uk:hml batch suite tst hps|
aviva uk:hml pc letters prd hps|
aviva uk:hml pc letters prd hps(x)|
aviva uk:hml pc letters tst hpb|
aviva uk:home claims - cps prd hpp|
aviva uk:home claims - cps prd hps|
aviva uk:home claims - cps tst hps|
aviva uk:home claims - cps uat hps|
aviva uk:homeset web service dev hps|
aviva uk:homeset web service prd hps|
aviva uk:house hold product variation db prd hpb|
aviva uk:house hold product variation db prd hps|
aviva uk:house hold product variation db pre hpb|
aviva uk:house hold product variation db pre hps|
aviva uk:hp abm dev hpb|
aviva uk:hp abm prd hpb|
aviva uk:hp config dev hpb|
aviva uk:hp config prd hpg|
aviva uk:hp config pre hpb|
aviva uk:hp data protector prd hpb|
aviva uk:hp data protector prd hps|
aviva uk:hp infra ai npe esx hpb|
aviva uk:hp infra ai npe hpsim hpb|
aviva uk:hp infra ai prd esx hps|
aviva uk:hp infra ai prd hpsim hpg|
aviva uk:hp infra ai prd hpsim hps|
aviva uk:hp open view prd hps|
aviva uk:hp performance centre prd hps|
aviva uk:hp performance centre prd hps(x)|
aviva uk:hp performance centre tst hpb|
aviva uk:hp shared infra npe hpb|
aviva uk:hp shared infra npe hpg|
aviva uk:hp shared infra prd hpb|
aviva uk:hp shared infra prd hpg|
aviva uk:hp vdi prd hpb|
aviva uk:hp webjet admin prd hpb|
aviva uk:hp webjet admin prd hpg|
aviva uk:hp webjet admin prd hpg(x)|
aviva uk:hp01 pre hps|
aviva uk:hpi cache prd hpg|
aviva uk:hpi cache pre hpg|
aviva uk:hpi cache pre hps|
aviva uk:hpicc management prd hps|
aviva uk:hpsim prd hpg|
aviva uk:hr topdesk dev hpb|
aviva uk:hsbc b2b mem det dev hpb|
aviva uk:hsbc b2b mem det dev hps|
aviva uk:hsbc b2b mem det prd hpg|
aviva uk:hsbc b2b mem det pre hpg|
aviva uk:hsbc b2b mem det pre hps|
aviva uk:hsbc b2b mem det prv hpg|
aviva uk:hsbc b2b mem det sit hpb|
aviva uk:hsbc b2b mem det sit hps|
aviva uk:hsbc b2b mem det tst hpb|
aviva uk:hsbc b2b mem det tst hps|
aviva uk:hsbc b2b mem det uat hpb|
aviva uk:hsbc b2b mem det uat hps|
aviva uk:hsbc b2b ric dev hpb|
aviva uk:hsbc b2b ric dev hps|
aviva uk:hsbc b2b ric pre hpg|
aviva uk:hsbc b2b ric prv hpg|
aviva uk:hsbc b2b ric sit hpb|
aviva uk:hsbc b2b ric sit hps|
aviva uk:hsbc b2b ric tst hpb|
aviva uk:hsbc b2b ric tst hps|
aviva uk:hsbc b2b ric uat hpb|
aviva uk:hsbc b2b ric uat hps|
aviva uk:hsbc home cp dev hpb|
aviva uk:hsbc home cp dev hps|
aviva uk:hsbc home cp prd hpb|
aviva uk:hsbc home cp prd hpg|
aviva uk:hsbc home cp prd hps|
aviva uk:hsbc home cp pre hpg|
aviva uk:hsbc home cp pre hps|
aviva uk:hsbc home cp prv hps|
aviva uk:hsbc home cp tst hpb|
aviva uk:hsbc home cp tst hps|
aviva uk:hsbc home cp uat hpb|
aviva uk:hsbc home cp uat hpg|
aviva uk:hsbc home cp uat hps|
aviva uk:hsbc internet prd hpg|
aviva uk:hsbc student home cp dev hpb|
aviva uk:hsbc student home cp prd hpb|
aviva uk:hsbc student home cp prd hps|
aviva uk:hsbc student home cp pre hps|
aviva uk:hsbc student home cp prv hps|
aviva uk:hsbc student home cp tst hpb|
aviva uk:hsbc student home cp uat hpb|
aviva uk:hsbc travel cp dev hpb|
aviva uk:hsbc travel cp prd hpb|
aviva uk:hsbc travel cp prd hps|
aviva uk:hsbc travel cp pre hps|
aviva uk:hsbc travel cp prv hps|
aviva uk:hsbc travel cp tst hpb|
aviva uk:hsbc travel cp uat hpb|
aviva uk:hyperion financial management dev hpb|
aviva uk:hyperion financial management dev hps|
aviva uk:hyperion financial management prd hpg|
aviva uk:hyperion financial management tst hpb|
aviva uk:iads uat2 hpb|
aviva uk:ib vision dev hpb|
aviva uk:ib vision dev hps|
aviva uk:ib vision prd hpb|
aviva uk:ib vision prd hpg|
aviva uk:ib vision prd hpp|
aviva uk:ib vision prd hps|
aviva uk:ib vision pre hpg|
aviva uk:ib vision pre hpp|
aviva uk:ib vision tst hpb|
aviva uk:ib vision tst hps|
aviva uk:ib vision uat hps|
aviva uk:ibm director prd hpb|
aviva uk:ibm director prd hps|
aviva uk:ibm license metric tool (ai) prd hps|
aviva uk:ibm license metric tool prd hpb|
aviva uk:ic tool prd hps|
aviva uk:icms dev hps|
aviva uk:icms prd hpg|
aviva uk:icms prd hpp|
aviva uk:ids dev hps|
aviva uk:ids prd hps|
aviva uk:ids prd hps(x)|
aviva uk:ids pre hps|
aviva uk:ifa database dev hpg|
aviva uk:ifa database dev hps|
aviva uk:ifa database dev hps(x)|
aviva uk:ifa database prd hps|
aviva uk:ifa database pre hps|
aviva uk:ifa database tst hpb|
aviva uk:ifa database tst hps|
aviva uk:ifa database tst hps(x)|
aviva uk:ifa database uat hpg|
aviva uk:ifa database uat hps|
aviva uk:ifa database uat hps(x)|
aviva uk:illustrations prd hpg|
aviva uk:illustrations prd hps|
aviva uk:image dev hps(x)|
aviva uk:image prd hpg|
aviva uk:image prd hpp|
aviva uk:image tst hps|
aviva uk:image uat hps|
aviva uk:imarket dev hpb|
aviva uk:imarket dev hpg|
aviva uk:imarket dev hps|
aviva uk:imarket prd hpb|
aviva uk:imarket prd hpg|
aviva uk:imarket prd hps|
aviva uk:imarket pre hpg|
aviva uk:imarket prv hpg|
aviva uk:imarket prv hps|
aviva uk:imarket test hpg|
aviva uk:imarket uat hpg|
aviva uk:imarket uat hps|
aviva uk:income distribution prd hpg|
aviva uk:insight prd hpb|
aviva uk:insight prd hps|
aviva uk:integrated medical screening dev hpb|
aviva uk:integrated medical screening dev hpg(x)|
aviva uk:integrated medical screening dev hps(x)|
aviva uk:integrated medical screening prd hpb(x)|
aviva uk:integrated medical screening prd hpg|
aviva uk:integrated medical screening prd hps|
aviva uk:integrated medical screening prd hps(x)|
aviva uk:integrated medical screening pre hps|
aviva uk:integrated medical screening sit hps(x)|
aviva uk:integrated medical screening uat hpg(x)|
aviva uk:integrated medical screening uat hps(x)|
aviva uk:intelleprint prd hpb|
aviva uk:intermediary communication prd hpg|
aviva uk:internal & external outlook email prd hps|
aviva uk:internal email (ex nu) prd hpg|
aviva uk:internal email (ex nu) prd hps|
aviva uk:internal portal dev hpb|
aviva uk:internal portal dev hpg|
aviva uk:internal portal dev hps|
aviva uk:internal portal prd hpg|
aviva uk:internal portal pre hpg|
aviva uk:internal portal pre hps|
aviva uk:internal portal prv hpg|
aviva uk:internal portal sit hpb|
aviva uk:internal portal sit hps|
aviva uk:internal portal tst hpb|
aviva uk:internal portal tst hps|
aviva uk:internal portal uat hpb|
aviva uk:internal portal uat hps|
aviva uk:intraquotes dev hpb|
aviva uk:intraquotes prd hps|
aviva uk:intraquotes pre hpb|
aviva uk:intraquotes pre hps|
aviva uk:intraquotes pre hps(x)|
aviva uk:intraquotes sit hpb|
aviva uk:intraquotes tst hpb|
aviva uk:intraquotes uat hpb|
aviva uk:investment & protection esb (ukl) dev hpb|
aviva uk:investment & protection esb (ukl) dev hps|
aviva uk:investment & protection esb (ukl) prd hpg|
aviva uk:investment & protection esb (ukl) pre hpb|
aviva uk:investment & protection esb (ukl) pre hpg|
aviva uk:investment & protection esb (ukl) prv hpb|
aviva uk:investment & protection esb (ukl) prv hps|
aviva uk:investment & protection esb (ukl) sit hpb|
aviva uk:investment & protection esb (ukl) sit hps|
aviva uk:investment & protection esb (ukl) tst hpb|
aviva uk:investment & protection esb (ukl) tst hps|
aviva uk:investment & protection esb (ukl) uat hpb|
aviva uk:investment & protection esb (ukl) uat hps|
aviva uk:investment & protection wps (ukl) dev hpb|
aviva uk:investment & protection wps (ukl) dev hps|
aviva uk:investment & protection wps (ukl) prd hpg|
aviva uk:investment & protection wps (ukl) pre hpb|
aviva uk:investment & protection wps (ukl) pre hpg|
aviva uk:investment & protection wps (ukl) prv hps|
aviva uk:investment & protection wps (ukl) sit hps|
aviva uk:investment & protection wps (ukl) tst hps|
aviva uk:investment & protection wps (ukl) uat hps|
aviva uk:investment decision supp prd hpg|
aviva uk:ip address management prd hps|
aviva uk:irecruitment dev hps|
aviva uk:irecruitment prd hpg|
aviva uk:irecruitment uat hpg|
aviva uk:irecruitment uat hps|
aviva uk:isda counterparty prd hps|
aviva uk:isis netquotes dev hpg|
aviva uk:isis netquotes dev hps|
aviva uk:isis netquotes prd hpg|
aviva uk:isis netquotes pre hpg|
aviva uk:isis netquotes sit hpg|
aviva uk:isis netquotes sit hps|
aviva uk:isis netquotes tst hpg|
aviva uk:isis netquotes tst hps|
aviva uk:isis netquotes uat hpg|
aviva uk:isis netquotes uat hps|
aviva uk:istrobe prd hps|
aviva uk:it access portal dev hps|
aviva uk:it access portal prd hpg|
aviva uk:it access portal prd hps|
aviva uk:it notification tool prd hps|
aviva uk:it self service prd hps|
aviva uk:it service catalogue prd hps|
aviva uk:itcam dev hps|
aviva uk:itcam prd hpg|
aviva uk:itcam tst hps|
aviva uk:iway dev hpb|
aviva uk:iway prd hps|
aviva uk:iway pre hps|
aviva uk:iway tst hps|
aviva uk:iway uat hps|
aviva uk:java framework (ukhe) dev hpb|
aviva uk:java framework (ukhe) prd hps|
aviva uk:jboss dev hpb|
aviva uk:jboss dev hps|
aviva uk:jboss prd hpg|
aviva uk:jboss prd hps|
aviva uk:jboss pre hpg|
aviva uk:jboss pre hps|
aviva uk:jboss pre hps(x)|
aviva uk:jboss prv hpg|
aviva uk:jboss prv hps|
aviva uk:jboss prv hps(x)|
aviva uk:jboss tst hpb|
aviva uk:jboss tst hps|
aviva uk:jboss uat hpb|
aviva uk:jboss uat hpg|
aviva uk:jboss uat hps|
aviva uk:jboss uat hps(x)|
aviva uk:jenkins dev hpb|
aviva uk:jenkins prd hpb|
aviva uk:jenkins prd hps|
aviva uk:jira prd hpg|
aviva uk:jira prd hps|
aviva uk:jlms prd hps|
aviva uk:jxml prd hps|
aviva uk:jxml pre hps|
aviva uk:jxml uat hpg|
aviva uk:jxml uat hps|
aviva uk:kafmain (ukgi) dev hpb|
aviva uk:kafmain (ukgi) prd hpp|
aviva uk:kafmain (ukgi) sit hpb|
aviva uk:kafmain (ukgi) uat hpb|
aviva uk:kcbl dev hpb|
aviva uk:kcbl prd hpb|
aviva uk:kcbl pre hpb|
aviva uk:kcbl uat hpb|
aviva uk:keymaster dev hpb|
aviva uk:keymaster dev hpg|
aviva uk:keymaster prd hpg|
aviva uk:keymaster sit hpb|
aviva uk:keymaster sit hpg|
aviva uk:keymaster uat hpb|
aviva uk:keymaster uat hpg|
aviva uk:klipfolio dev hpb|
aviva uk:klipfolio prd hpb|
aviva uk:klipfolio-change prd hps|
aviva uk:kodak (ko or ki) prd hpg|
aviva uk:kofax prd hpb|
aviva uk:kofax prd hpg|
aviva uk:kofax pre hpb|
aviva uk:kofax pre hpg|
aviva uk:kofax sit hps|
aviva uk:kofax uat hpg|
aviva uk:kpmg cube px prd hps|
aviva uk:kxen analytics prd hps|
aviva uk:lads db prd hpg|
aviva uk:landscape dev hps|
aviva uk:landscape prd hps|
aviva uk:lcs dev hpb|
aviva uk:lcs prd hps|
aviva uk:lcs uat hpb|
aviva uk:ldap af ecom dev hpg|
aviva uk:ldap af ecom dev hps|
aviva uk:ldap af ecom prd hpg|
aviva uk:ldap af ecom pre hpg|
aviva uk:ldap af ecom tst hpb|
aviva uk:learning world dev hps|
aviva uk:learning world prd hps|
aviva uk:leeds cp dev hpb|
aviva uk:leeds cp dev hps|
aviva uk:leeds cp prd hps|
aviva uk:leeds cp pre hps|
aviva uk:leeds cp prv hps|
aviva uk:leeds cp tst hpb|
aviva uk:leeds cp uat hpb|
aviva uk:legal indemnity on-line (lion) dev hpb|
aviva uk:legal indemnity on-line (lion) dev hpg|
aviva uk:legal indemnity on-line (lion) prd hpg|
aviva uk:legal indemnity on-line (lion) prd hps|
aviva uk:legal indemnity on-line (lion) pre hpg|
aviva uk:legal indemnity on-line (lion) pre hps|
aviva uk:legal indemnity on-line (lion) tst hpb|
aviva uk:legal indemnity on-line (lion) tst hps|
aviva uk:legal indemnity on-line (lion) uat hpb|
aviva uk:legal indemnity on-line (lion) uat hps|
aviva uk:legal work tracking dev hpb|
aviva uk:legal work tracking dev hps|
aviva uk:legal work tracking prd hpb|
aviva uk:legal work tracking prd hps|
aviva uk:legal work tracking tst hpb|
aviva uk:legal work tracking uat hpb|
aviva uk:legal work tracking uat hps|
aviva uk:lenci dev hpg|
aviva uk:lenci prd hpg|
aviva uk:lenci prd hpp|
aviva uk:lenci uat hpg|
aviva uk:lftp cornerstone prd hpg|
aviva uk:life 01 lmg prd hps|
aviva uk:life 24x7 cics dev hps|
aviva uk:life 24x7 cics prd hpp|
aviva uk:life 24x7 cics sit hps|
aviva uk:life 24x7 cics tst hps|
aviva uk:life 24x7 cics uat hps|
aviva uk:life 70 ob norwich prd hpp|
aviva uk:life 70 pensions norwich prd hpp|
aviva uk:life client prd hpp|
aviva uk:life quotes prd hpg|
aviva uk:life rates prd hpg|
aviva uk:life70 joint venture dev hpg|
aviva uk:life70 joint venture prd hpg|
aviva uk:life70 stevenage dev hpg|
aviva uk:life70 stevenage dev hpp|
aviva uk:life70 stevenage prd hpg|
aviva uk:life70 york dev hps|
aviva uk:life70 york prd hpg|
aviva uk:livechat dev hpg|
aviva uk:livechat dev hps|
aviva uk:livechat prd hpg|
aviva uk:livechat prd hps|
aviva uk:livechat ukgi dev hpg|
aviva uk:ll agency prd hpg|
aviva uk:lmg01 lmg prd hpb|
aviva uk:lmg01 lmg pre hpb|
aviva uk:load runner prd hps|
aviva uk:lotus notes administration prd hps|
aviva uk:lotus notes databases dev hpb|
aviva uk:lotus notes databases prd hpb|
aviva uk:lotus notes dev hps|
aviva uk:lotus notes directory prd hps|
aviva uk:lotus notes messaging prd hpb|
aviva uk:lotus notes prd hpb|
aviva uk:lotus notes prd hpg|
aviva uk:lotus notes prd hpg(x)|
aviva uk:lotus notes prd hps|
aviva uk:lotus notes prd hps(x)|
aviva uk:lotus notes test hps|
aviva uk:lotus notes uat hps|
aviva uk:ltrams prd hpg|
aviva uk:m/f experian payments gateway dev hpb|
aviva uk:m/f experian payments gateway dev hps|
aviva uk:m/f experian payments gateway prd hpg|
aviva uk:m/f experian payments gateway prd hps|
aviva uk:m/f experian payments gateway prd hps(x)|
aviva uk:m/f experian payments gateway pre hps|
aviva uk:m/f fin bank wizard dev hpg|
aviva uk:m/f fin bank wizard dev hps|
aviva uk:m/f fin bank wizard uat hpp|
aviva uk:m/f fin bank wizard uat hps|
aviva uk:magnitude cartesis finance dev hpb|
aviva uk:magnitude cartesis finance dev hpg|
aviva uk:magnitude cartesis finance prd hpg|
aviva uk:magnitude cartesis finance prd hpg(x)|
aviva uk:magnitude cartesis finance pre hpg|
aviva uk:magnitude cartesis finance pre hps|
aviva uk:magnitude cartesis finance tst hpg|
aviva uk:magnitude cartesis finance tst hps|
aviva uk:magnum dev hpb|
aviva uk:magnum dev hps|
aviva uk:magnum isis dev hps|
aviva uk:magnum isis prd hpg|
aviva uk:magnum isis prd hps|
aviva uk:magnum isis prd hps(x)|
aviva uk:magnum jv prd hps|
aviva uk:magnum pre hpg|
aviva uk:magnum pre hps|
aviva uk:magnum pre hps(x)|
aviva uk:magnum pre hpu|
aviva uk:magnum sit hpb|
aviva uk:magnum tst hpb|
aviva uk:magnum uat hpb|
aviva uk:magnum uat hps|
aviva uk:mailing deletions dev hps|
aviva uk:mailing deletions prd hpp|
aviva uk:mainframe aviva france dev hpg|
aviva uk:mainframe aviva france dev hps|
aviva uk:mainframe aviva france prd hpg|
aviva uk:mainframe aviva france prd hps|
aviva uk:mainframe aviva france tst hpb|
aviva uk:mainframe aviva france uat hpb|
aviva uk:mainframe aviva france uat hpg|
aviva uk:mainframe aviva france uat hps|
aviva uk:mainframe aviva italy prd hpg|
aviva uk:mainframe aviva italy tst hpb|
aviva uk:mainframe diags tools dev hpb|
aviva uk:mainframe diags tools dev hpg|
aviva uk:mainframe diags tools dev hps|
aviva uk:mainframe diags tools prd hpg|
aviva uk:mainframe diags tools prd hpp|
aviva uk:mainframe diags tools prd hps|
aviva uk:mainframe inf sup prd hpg|
aviva uk:mainframe infrastructure support dev hpb|
aviva uk:mainframe infrastructure support dev hpg|
aviva uk:mainframe infrastructure support dev hps|
aviva uk:mainframe infrastructure support prd hpb|
aviva uk:mainframe infrastructure support prd hpg|
aviva uk:mainframe infrastructure support prd hpg(x)|
aviva uk:mainframe infrastructure support prd hpp|
aviva uk:mainframe infrastructure support prd hps|
aviva uk:mainframe infrastructure support tst hpb|
aviva uk:mainframe infrastructure support tst hps|
aviva uk:mainframe security dev hps|
aviva uk:mainframe security prd hpg|
aviva uk:mainframe server management dr hpg|
aviva uk:mainframe server management dr hpg(x)|
aviva uk:mainframe server management dr hpp|
aviva uk:mainframe server management dr hps|
aviva uk:mainframe server management prd hpg|
aviva uk:mainframe server management tst hpb|
aviva uk:mainframe server management tst hpb(x)|
aviva uk:make & model dev hps|
aviva uk:make & model dev hps(x)|
aviva uk:make & model prd hpg|
aviva uk:make & model prd hpg(x)|
aviva uk:make & model pre hpg|
aviva uk:make & model tst hps|
aviva uk:marine cardoc dev hps|
aviva uk:marine cardoc prd hps|
aviva uk:marine cargo dev hpb|
aviva uk:marine cargo dev hpg|
aviva uk:marine cargo dev hps|
aviva uk:marine cargo prd hpg|
aviva uk:marine cargo prd hps|
aviva uk:marine cargo pre hpg|
aviva uk:marine cargo tst hps|
aviva uk:marine cargo uat hps|
aviva uk:mars dev hps|
aviva uk:mars prd hpp|
aviva uk:mars uat hps|
aviva uk:matlab prd hps|
aviva uk:mdm dev hps|
aviva uk:mdm prd hpg|
aviva uk:mdm pre hpg|
aviva uk:mdm sit hpb|
aviva uk:mdm sit hps|
aviva uk:mdm tst hps|
aviva uk:mdm uat hps|
aviva uk:measures matrix dev hpg|
aviva uk:measures matrix dev hpg(x)|
aviva uk:measures_matrix time_recording dev hpg|
aviva uk:mediaview dev hpb|
aviva uk:mediaview dev hps|
aviva uk:mediaview prd hpb|
aviva uk:mediaview prd hps|
aviva uk:mediaview prd hps(x)|
aviva uk:mediaview pre hps|
aviva uk:mediaview trn hps|
aviva uk:mediaview tst hpb|
aviva uk:mediaview tst hps|
aviva uk:mediaview uat hpb|
aviva uk:memo life prd hps|
aviva uk:memo prd hps|
aviva uk:mercury licence management prd hps|
aviva uk:merlin dev hpb|
aviva uk:merlin dev hps|
aviva uk:merlin prd hpg|
aviva uk:merlin prd hps|
aviva uk:merlin uat hpb|
aviva uk:merlin uat hps|
aviva uk:message broker (ai) prd hpg|
aviva uk:message broker (ai) uat0 hpb|
aviva uk:message broker (ai) uat1 hpb|
aviva uk:message broker (ai) uat2 hpb|
aviva uk:message broker (ai) uat3 hpb|
aviva uk:message broker (ai) uatr hpb|
aviva uk:message broker (ai) v6 dev hpb|
aviva uk:message broker - rating prd hpg|
aviva uk:message broker dev hpb|
aviva uk:message broker dev hpb(x)|
aviva uk:message broker dev hpg|
aviva uk:message broker dev hps|
aviva uk:message broker prd hpb|
aviva uk:message broker prd hpg|
aviva uk:message broker prd hpg(x)|
aviva uk:message broker prd hpp|
aviva uk:message broker prd hps|
aviva uk:message broker prd hps(x)|
aviva uk:message broker pre hpb|
aviva uk:message broker pre hpg|
aviva uk:message broker pre hpg(x)|
aviva uk:message broker pre hps|
aviva uk:message broker pre hps(x)|
aviva uk:message broker prv hpb|
aviva uk:message broker rating prd hpg|
aviva uk:message broker rating prd hps|
aviva uk:message broker tst hpb|
aviva uk:message broker tst hpb(x)|
aviva uk:message broker tst hpg|
aviva uk:message broker tst hps|
aviva uk:message broker uat hpb|
aviva uk:message broker uat hpg|
aviva uk:message broker uat hps|
aviva uk:message broker uat hps(x)|
aviva uk:message queue (ai) v6 dev hpb|
aviva uk:mf fin bank wizard prd hpg|
aviva uk:mf fin bank wizard prd hpp|
aviva uk:mi marts dev hps|
aviva uk:mi marts prd hpp|
aviva uk:mi marts tst hps|
aviva uk:miaftr dev hps|
aviva uk:miaftr prd hps|
aviva uk:mid prd hpp|
aviva uk:mid tst hps|
aviva uk:mid uat hps|
aviva uk:midas exnu extract prd hpp|
aviva uk:midrange cde prd hpg|
aviva uk:midrange console server prd hps|
aviva uk:midrange db2 model office tst hps|
aviva uk:midrange dns prd hpg|
aviva uk:midrange e-comm sandpit tst hpb|
aviva uk:midrange ftp prd hpg|
aviva uk:midrange hmc prd hpg|
aviva uk:midrange hmc prd hps|
aviva uk:midrange hmc tst hpb|
aviva uk:midrange hpsa satellite prd hpg|
aviva uk:midrange hpux vmhost prd hpb|
aviva uk:midrange hpux vmhost pre hpb|
aviva uk:midrange hpux vmhost tst hpb|
aviva uk:midrange hpux vmhost tst hpb fmo|
aviva uk:midrange ignite prd hpb|
aviva uk:midrange kickstart prd hps|
aviva uk:midrange ldap prd hpg|
aviva uk:midrange lmt prd hps|
aviva uk:midrange management server prd hpg|
aviva uk:midrange management server prd hpg(x)|
aviva uk:midrange model office hpb|
aviva uk:midrange model office tst hpb|
aviva uk:midrange nim prd hpb|
aviva uk:midrange nim prd hpg|
aviva uk:midrange nim prd hps|
aviva uk:midrange nim tst hpb|
aviva uk:midrange nis prd hpg|
aviva uk:midrange oracle model office hps|
aviva uk:midrange oracle model office tst hpb|
aviva uk:midrange poc hpb|
aviva uk:midrange poc tst hpb|
aviva uk:midrange qas prd hpb|
aviva uk:midrange quorum prd hpb|
aviva uk:midrange server management poc hpb|
aviva uk:midrange server management poc hpb(x)|
aviva uk:midrange server management poc hpg|
aviva uk:midrange server management poc hps|
aviva uk:midrange server management prd hpb|
aviva uk:midrange server management prd hpb(x)|
aviva uk:midrange server management prd hpg|
aviva uk:midrange server management prd hpg(x)|
aviva uk:midrange server management prd hpp(x)|
aviva uk:midrange server management prd hps|
aviva uk:midrange server management prd hps(x)|
aviva uk:midrange server management pre hpb|
aviva uk:midrange server management pre hpg|
aviva uk:midrange server management tst hpb|
aviva uk:midrange server management tst hpb(x)|
aviva uk:midrange tam sandpit tst hpb|
aviva uk:midrange tim sandpit tst hpb|
aviva uk:midrange websphere sandpit hpb|
aviva uk:misc ukgi lts nts dbs prd hps|
aviva uk:mobileiron prd hpg|
